Entry,Protein name,Accession
EXTRA_0117,Peptide chain release factor 3 (RF-3),A0A140NC65
EXTRA_0118,Elongation factor Tu (EF-Tu),A0A140N6W0
EXTRA_0119,Elongation factor Ts (EF-Ts),A0A140NFD7
EXTRA_0120,Translation initiation factor IF-2,A0A140N3T4
EXTRA_0121,Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA),A0A140N6C6
EXTRA_0122,Peptide chain release factor 2 (RF-2),A0A140N6E7
EXTRA_0123,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS),A0A140N6W9
EXTRA_0124,Ribosome-recycling factor (RRF) (Ribosome-releasing factor),A0A140NAU7
EXTRA_0125,Translation initiation factor IF-3,A0A140N9R4
EXTRA_0126,Elongation factor G (EF-G),A0A140N7C7
EXTRA_0127,Translation initiation factor IF-1,A0A140NBV7
EXTRA_0129,Peptide chain release factor 1 (RF-1),A0A140NAI0
EXTRA_0130,Cyan Fluorescent Protein,
