"","BL11","BL12","BL21","BL22","CF11","CF12","CF21","CF22","POOL1","POOL2","POOL3","POOL4","S111","S112","S121","S122","S711","S712","S721","S722"
"CONT_011|gi|136425|sp|P00760|TRYP_BOVIN (+1)",3835026.73067097,3911514.13535647,3874019.45256983,3901737.38762711,3731195.62881501,4510383.99796833,4588256.88670952,4236522.58659043,3903935.2119666,4219424.00283282,4161022.56233379,3962336.65246562,3784375.77676736,3831416.47368344,4690894.04447979,4209485.68356069,3869808.03783959,3996445.08828255,4224318.78133686,5063389.69364787
"CONT_068|gi|1082558|pir||S41161 (+1)",6199578.69580997,7066370.3324887,6312816.50946859,6931707.27881933,5935730.74755297,6074941.87832109,6754497.58934379,12181008.5768655,6828323.56264354,7111973.74601263,6827599.67031057,7112697.63834559,4896269.12571075,7263272.59500875,6779416.86190126,6442306.80121137,4001431.57595542,8255272.09871999,8388302.12462725,8690283.39783967
"CONT_072|gi|547754|sp|P35908|K22E_HUMAN (+1)",1580745.01911427,1583974.00148529,1860664.85669452,2163202.91816704,1613268.1467281,1448618.88000803,1885270.97577073,1723223.12453697,1812906.25605437,1890110.36014678,1868784.35016007,1834232.26604108,875219.829563477,2208721.47946293,1820112.16595006,1493081.84174301,1374696.13840744,2530308.22894774,2459851.86272241,2744858.39910242
"CONT_089|gi|71536|pir||KRHU2",1920025.15195483,2443472.49818301,2154789.78548338,2331451.85370744,2301822.45262237,2177362.17141852,2417178.08690859,4277901.50362845,2414568.1071154,2412336.60265567,2422728.08509495,2404176.62467612,1593815.65592499,2433836.48452995,2269749.50545137,2144562.71259258,1557319.78197287,2699824.77423343,3269226.19489178,3409168.47338214
"CONT_092|gi|71528|pir||KRHU0 (+2)",3971353.75384918,4113378.26065328,4550996.90997685,5087601.17013393,4503818.8550211,4189010.80809347,4710196.68717866,5307275.68934752,4811107.53982834,4984255.97202657,4856245.7573008,4939117.75455411,2985350.85477053,5574157.14968209,5115361.67834049,4021952.57457438,4122463.49941688,6309218.73598292,6940189.15935363,6734395.74585551
"EXTRA_0117 (+1)",14402805.0415581,19767807.9284497,17774042.3551058,13235464.4534486,10611703.858696,14416761.861038,15983709.723442,12907020.7583761,36801697.5329339,36043200.0295246,35947343.1372684,36897554.4251902,12717120.1056827,11921827.9070789,16373762.4546151,12480028.6327023,122807503.378326,124454701.285615,100714828.641082,110005677.837323
"EXTRA_0118",435486264.438532,457580826.221434,454859831.43199,416503717.818169,348912339.352455,417403606.676146,397585515.332011,370764616.968971,835686161.784805,862030543.024927,852348939.708642,845367765.101089,1743953693.01792,1499184447.00772,1547220396.81424,1508127175.87931,1096038384.22115,1057115657.59164,1002264533.14441,1096692404.53663
"EXTRA_0119",153984728.810085,200124046.266265,198001768.200269,159644540.689116,108038155.335777,249508499.527811,197428099.369719,183678615.8437,835963838.944129,861833786.195475,856577867.387347,841219757.752257,2061338410.98322,1934649115.28159,1918382540.52356,1835831253.82617,1232946978.77641,1280982018.97673,1098688578.95971,1286727120.40029
"EXTRA_0121",15009009.6834983,17620702.0320335,16915465.6508896,14696382.1871576,12072992.6769943,14552919.2305683,16149689.0724669,12520219.5085093,31339997.3335946,30540994.8636403,30516103.8943478,31364888.302887,11663470.232694,11779024.6810454,15106249.2972268,12370091.4869782,89142624.3999022,99356649.7884974,82526629.6650889,88802544.2947993
"EXTRA_0125",33321858.7176043,36133961.334429,37049958.0967722,31254035.4256627,53720090.0925977,54072400.5529046,57307860.9621751,51680184.1777943,67143296.4821703,63132909.083626,64909300.1907678,65366905.3750285,31398489.6141245,33395903.2079006,35102982.1426107,31003592.4820339,143313611.965397,143478586.960798,148964368.132906,175745372.376215
