Entry,fasta_header,BL11,BL12,BL21,BL22,CF11,CF12,CF21,CF22,POOL1,POOL2,POOL3,POOL4,S111,S112,S121,S122,S711,S712,S721,S722,Entry_name,Status,Protein_names,Gene_names,Organism,Length,Gene_ontology_biological_process,Gene_ontology_cellular_component,Gene_ontology_GO,Gene_ontology_molecular_function,Gene_ontology_IDs,EC_number,Intramembrane,Subcellular_location_CC,Topological_domain,Transmembrane,expressed,BL_mean,BL_std,CF_mean,CF_std,S1_mean,S1_std,S7_mean,S7_std,CF_BL_fc,CF_BL_p_val,S1_BL_fc,S1_BL_p_val,S7_BL_fc,S7_BL_p_val
A0A140NC65,EXTRA_0117 (+1),14402805.0415581,19767807.928449698,17774042.355105802,13235464.4534486,10611703.858696,14416761.861038001,15983709.723442001,12907020.758376101,36801697.5329339,36043200.0295246,35947343.137268394,36897554.4251902,12717120.105682699,11921827.9070789,16373762.4546151,12480028.6327023,122807503.378326,124454701.285615,100714828.64108199,110005677.837323,A0A140NC65_ECOBD,unreviewed,Peptide chain release factor 3 (RF-3),prfC ECBD_3646,Escherichia coli (strain B / BL21-DE3),529.0,regulation of translational termination [GO:0006449],cytoplasm [GO:0005737],"cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation release factor activity, codon specific [GO:0016149]; regulation of translational termination [GO:0006449]","GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation release factor activity, codon specific [GO:0016149]",GO:0003924; GO:0005525; GO:0005737; GO:0006449; GO:0016149,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00072, ECO:0000256|SAAS:SAAS01159242}.",,,exp,16295029.94464055,2607159.4079513913,13479799.050388025,1981256.7329590155,13373184.77501975,1756278.1609355486,114495677.78558649,9725488.373820055,0.8272337698171301,0.1870372962279438,0.8206910217687695,0.15854437312204778,7.0264171452623945,2.750511567894234e-06
A0A140N6W0,EXTRA_0118,435486264.438532,457580826.221434,454859831.43199,416503717.818169,348912339.35245496,417403606.676146,397585515.332011,370764616.968971,835686161.7848049,862030543.0249269,852348939.708642,845367765.101089,1743953693.01792,1499184447.00772,1547220396.81424,1508127175.87931,1096038384.22115,1057115657.59164,1002264533.14441,1096692404.5366302,A0A140N6W0_ECOBD,unreviewed,Elongation factor Tu (EF-Tu),tuf ECBD_0410,Escherichia coli (strain B / BL21-DE3),394.0,,cytoplasm [GO:0005737],cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746],GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746],GO:0003746; GO:0003924; GO:0005525; GO:0005737,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00118}.,,,exp,441107659.9775313,16563827.180027053,383666519.58239573,26010774.799833424,1574621428.1797974,99418881.69817342,1063027744.8734576,38568550.322891146,0.869779771228499,0.017992867074725447,3.5696986723377324,1.1857016321824654e-06,2.4099054297257156,2.3074438810361137e-07
A0A140NFD7,EXTRA_0119,153984728.810085,200124046.266265,198001768.20026898,159644540.689116,108038155.335777,249508499.527811,197428099.369719,183678615.8437,835963838.944129,861833786.195475,856577867.387347,841219757.752257,2061338410.9832199,1934649115.2815897,1918382540.52356,1835831253.82617,1232946978.7764099,1280982018.97673,1098688578.95971,1286727120.40029,A0A140NFD7_ECOBD,unreviewed,Elongation factor Ts (EF-Ts),tsf ECBD_3449,Escherichia coli (strain B / BL21-DE3),283.0,,cytoplasm [GO:0005737],cytoplasm [GO:0005737]; translation elongation factor activity [GO:0003746],translation elongation factor activity [GO:0003746],GO:0003746; GO:0005737,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00050, ECO:0000256|RuleBase:RU000643}.",,,exp,177938770.99143374,21231964.671232414,184663342.51925176,50596992.01149298,1937550330.153635,80693990.87203005,1224836174.278285,75765833.39976642,1.0377914913672286,0.8389268762702902,10.88885979912108,2.809212916706836e-08,6.883469900650548,4.37564829745144e-07
A0A140N6C6,EXTRA_0121,15009009.6834983,17620702.0320335,16915465.650889598,14696382.1871576,12072992.676994301,14552919.230568301,16149689.0724669,12520219.5085093,31339997.333594605,30540994.8636403,30516103.8943478,31364888.302887,11663470.232694,11779024.681045402,15106249.2972268,12370091.4869782,89142624.3999022,99356649.78849742,82526629.6650889,88802544.2947993,A0A140N6C6_ECOBD,unreviewed,Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA),lepA ECBD_1112,Escherichia coli (strain B / BL21-DE3),599.0,positive regulation of translation [GO:0045727],plasma membrane [GO:0005886],plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; positive regulation of translation [GO:0045727],GTPase activity [GO:0003924]; GTP binding [GO:0005525]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746],GO:0003746; GO:0003924; GO:0005525; GO:0005886; GO:0043022; GO:0045727,3.6.5.n1,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00071}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_00071}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_00071}.,,,exp,16060389.88839475,1238108.021284396,13823955.1221347,1636002.9885088427,12729708.9244861,1398028.4620875206,89957112.03707194,6032408.204925754,0.860748413842923,0.10794850415807457,0.7926151863650955,0.02141029231850189,5.601178592935344,8.075405166866045e-07
A0A140N9R4,EXTRA_0125,33321858.717604302,36133961.334428996,37049958.0967722,31254035.4256627,53720090.09259771,54072400.5529046,57307860.9621751,51680184.1777943,67143296.4821703,63132909.083626,64909300.190767795,65366905.375028506,31398489.6141245,33395903.207900606,35102982.1426107,31003592.482033897,143313611.965397,143478586.960798,148964368.13290602,175745372.37621498,A0A140N9R4_ECOBD,unreviewed,Translation initiation factor IF-3,infC ECBD_1927,Escherichia coli (strain B / BL21-DE3),180.0,,cytoplasm [GO:0005737],cytoplasm [GO:0005737]; translation initiation factor activity [GO:0003743],translation initiation factor activity [GO:0003743],GO:0003743; GO:0005737,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00080, ECO:0000256|RuleBase:RU000646}.",,,exp,34439953.39361705,2295756.7628719057,54195133.94636793,2015860.3598873273,32725241.861667424,1645279.8848299503,152875484.85882902,13398317.92089823,1.5736122905558931,3.0254098876449866e-05,0.9502115606153108,0.3335119444666503,4.438899295582737,5.3381884548881876e-06
A0A140N7C7,EXTRA_0126,338913402.770281,354925298.10862404,333689407.592642,297344041.66443396,283906614.237462,299023583.988677,320932309.188001,273996988.748708,524526398.360734,509085686.165592,512683824.92686105,520928259.599465,335895287.742436,305629733.53585804,345375003.708515,319592394.455392,1186010819.54785,1172563682.47132,1204765086.4333699,1306042422.40423,A0A140N7C7_ECOBD,unreviewed,Elongation factor G (EF-G),fusA ECBD_0409,Escherichia coli (strain B / BL21-DE3),704.0,,cytoplasm [GO:0005737],cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746],GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746],GO:0003746; GO:0003924; GO:0005525; GO:0005737,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00054}.,,,exp,331218037.5339953,21064235.78136064,294464874.040712,17689814.428543206,326623104.8605503,15229573.321149267,1217345502.7141924,52470668.54372021,0.8890363466708511,0.05991771342454812,0.9861271665406406,0.7698112715217857,3.6753599283953475,1.6515545075208224e-07
A0A140NBV7,EXTRA_0127,11812506.3046731,15969959.2592178,16729707.939079098,11040513.405292999,6982511.4395288,9721190.26979087,15830583.6417505,7602715.77398677,49000212.9253714,46606881.8589741,46668351.0680552,48938743.716290295,5540838.22113147,4592909.52305398,12926719.523448,8570688.12671477,147878412.228575,188866566.145391,172807554.838168,182603010.959842,A0A140NBV7_ECOBD,unreviewed,Translation initiation factor IF-1,infA ECBD_2711,Escherichia coli (strain B / BL21-DE3),72.0,,cytoplasm [GO:0005737],cytoplasm [GO:0005737]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation initiation factor activity [GO:0003743],ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation initiation factor activity [GO:0003743],GO:0003743; GO:0005737; GO:0019843; GO:0043022,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00075}.,,,exp,13888171.72706575,2491270.3705381393,10034250.281264234,3497175.896881207,7907788.848587056,3248845.209749973,173038886.042994,15613222.75782035,0.7225033271808657,0.17103501334707655,0.5693901979319628,0.044674901914390774,12.459443146556852,2.2830273321260428e-06
,EXTRA_0130,17388020.790976003,2764923.11927242,7047539.37590325,28359673.623911303,843721804.008199,958158292.4185561,901739436.108276,983534087.978228,246545007.57649103,214715147.297077,221726341.02073398,239533813.852835,13223303.7518135,80312015.09600571,52192234.0083709,54160298.5019184,56544312.725046605,2922272.15167897,30428249.2950928,5785598.59667168,,,Cyan Fluorescent Protein,,,,,,,,,,,,,,exp,13890039.227515742,9901946.869490784,921788405.1283147,53925071.676634476,49971962.83952713,23945012.40005372,23920108.192122515,21659086.88444116,66.36326867258086,1.1895470583256464e-07,3.5976833485490958,0.05243948081253645,1.7221051575389013,0.49319369413318614
A0A140N5J7,sp|A0A140N5J7|KDSC_ECOBD,1276041.72590828,1071795.17507968,1090037.92723539,1168446.03798718,1212980.76193759,1218463.63710278,1367866.7310816003,1355428.28974649,1205337.17381074,1267572.45621269,1218381.3280181002,1254528.30200532,1243469.10789266,1230329.13295136,1081137.64596427,1412592.53606581,1112092.07040158,988023.519752952,1139462.54691981,1028312.54184214,KDSC_ECOBD,reviewed,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase),kdsC ECBD_0544,Escherichia coli (strain B / BL21-DE3),188.0,lipopolysaccharide biosynthetic process [GO:0009103],,3-deoxy-manno-octulosonate-8-phosphatase activity [GO:0019143]; metal ion binding [GO:0046872]; lipopolysaccharide biosynthetic process [GO:0009103],3-deoxy-manno-octulosonate-8-phosphatase activity [GO:0019143]; metal ion binding [GO:0046872],GO:0009103; GO:0019143; GO:0046872,3.1.3.45,,,,,not_exp,1151580.2165526324,80511.22508848668,1288684.8549671152,73120.76437464902,1241882.105718525,117384.86074309378,1066972.6697291206,61274.21232125388,1.1190578271871663,0.07171891768139002,1.078415630859151,0.3139737001750443,0.926529176511218,0.19766739395024105
A0A140NDS5,sp|A0A140NDS5|YAFV_ECOBD,64559.4257350027,60161.4121181446,57171.22754282,71090.51066283669,71272.31723894611,70103.2662092854,82204.2791436119,71724.1061604611,63451.102263428606,55366.979528268894,61213.247058247805,57604.834733449694,56737.281098174004,48598.973586943604,50208.9548193132,45647.8472733545,50973.7566359033,48965.832134829405,48166.4771360818,49966.5317775059,YAFV_ECOBD,reviewed,Omega-amidase YafV (ecYafV) (EC 3.5.1.3),yafV ECBD_3403,Escherichia coli (strain B / BL21-DE3),256.0,nitrogen compound metabolic process [GO:0006807],,omega-amidase activity [GO:0050152]; nitrogen compound metabolic process [GO:0006807],omega-amidase activity [GO:0050152],GO:0006807; GO:0050152,3.5.1.3,,,,,not_exp,63245.644014701,5236.386564254631,73825.99218807612,4873.2320291917595,50298.264194446325,4061.492366104533,49518.1494210801,1054.9776599676381,1.167289753123801,0.04279952483063773,0.7952842441252531,0.014784149754674528,0.7829495642351268,0.004323429125439124
