Entry,Entry_name,Status,Protein_names,Gene_names,Organism,Length,Gene_ontology_biological_process,Gene_ontology_cellular_component,Gene_ontology_GO,Gene_ontology_molecular_function,Gene_ontology_IDs,EC_number,Intramembrane,Subcellular_location_CC,Topological_domain,Transmembrane
A0A140N9D5,A0A140N9D5_ECOBD,unreviewed,Cysteine desulfurase IscS (EC 2.8.1.7),iscS ECBD_1154,Escherichia coli (strain B / BL21-DE3),404,[2Fe-2S] cluster assembly [GO:0044571],cytoplasm [GO:0005737],"cytoplasm [GO:0005737]; 2 iron, 2 sulfur cluster binding [GO:0051537]; cysteine desulfurase activity [GO:0031071]; metal ion binding [GO:0046872]; pyridoxal phosphate binding [GO:0030170]; [2Fe-2S] cluster assembly [GO:0044571]","2 iron, 2 sulfur cluster binding [GO:0051537]; cysteine desulfurase activity [GO:0031071]; metal ion binding [GO:0046872]; pyridoxal phosphate binding [GO:0030170]",GO:0005737; GO:0030170; GO:0031071; GO:0044571; GO:0046872; GO:0051537,2.8.1.7,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00331}.,,
A0A140N6W2,A0A140N6W2_ECOBD,unreviewed,Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase),anmK ECBD_2003,Escherichia coli (strain B / BL21-DE3),369,"1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar metabolic process [GO:0006040]; carbohydrate metabolic process [GO:0005975]; peptidoglycan turnover [GO:0009254]",,"ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; 1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar metabolic process [GO:0006040]; carbohydrate metabolic process [GO:0005975]; peptidoglycan turnover [GO:0009254]","ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]",GO:0005524; GO:0005975; GO:0006040; GO:0009254; GO:0016301; GO:0016773; GO:0097175,2.7.1.170,,,,
A0A140N6T1,A0A140N6T1_ECOBD,unreviewed,N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase),murQ ECBD_1253,Escherichia coli (strain B / BL21-DE3),298,"1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; carbohydrate metabolic process [GO:0005975]; N-acetylmuramic acid catabolic process [GO:0097173]; peptidoglycan turnover [GO:0009254]",,"carbohydrate derivative binding [GO:0097367]; carbon-oxygen lyase activity [GO:0016835]; kinase activity [GO:0016301]; 1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; carbohydrate metabolic process [GO:0005975]; N-acetylmuramic acid catabolic process [GO:0097173]; peptidoglycan turnover [GO:0009254]",carbohydrate derivative binding [GO:0097367]; carbon-oxygen lyase activity [GO:0016835]; kinase activity [GO:0016301],GO:0005975; GO:0009254; GO:0016301; GO:0016835; GO:0097173; GO:0097175; GO:0097367,4.2.1.126,,,,
A0A140NEV3,A0A140NEV3_ECOBD,unreviewed,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS),dxs ECBD_3241,Escherichia coli (strain B / BL21-DE3),620,1-deoxy-D-xylulose 5-phosphate biosynthetic process [GO:0052865]; terpenoid biosynthetic process [GO:0016114]; thiamine biosynthetic process [GO:0009228],,1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; 1-deoxy-D-xylulose 5-phosphate biosynthetic process [GO:0052865]; terpenoid biosynthetic process [GO:0016114]; thiamine biosynthetic process [GO:0009228],1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976],GO:0000287; GO:0008661; GO:0009228; GO:0016114; GO:0030976; GO:0052865,2.2.1.7,,,,
A0A140NF58,A0A140NF58_ECOBD,unreviewed,3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase (3-HCI hydroxylase) (3-HPP hydroxylase) (EC 1.14.13.127),mhpA ECBD_3310,Escherichia coli (strain B / BL21-DE3),554,3-(3-hydroxy)phenylpropionate catabolic process [GO:0019622]; 3-phenylpropionate catabolic process [GO:0019380],,3-(3-hydroxyphenyl)propionate hydroxylase activity [GO:0008688]; FAD binding [GO:0071949]; 3-(3-hydroxy)phenylpropionate catabolic process [GO:0019622]; 3-phenylpropionate catabolic process [GO:0019380],3-(3-hydroxyphenyl)propionate hydroxylase activity [GO:0008688]; FAD binding [GO:0071949],GO:0008688; GO:0019380; GO:0019622; GO:0071949,1.14.13.127,,,,
A0A140N9C5,A0A140N9C5_ECOBD,unreviewed,3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit,hcaC ECBD_1144,Escherichia coli (strain B / BL21-DE3),106,3-phenylpropionate catabolic process [GO:0019380],,"2 iron, 2 sulfur cluster binding [GO:0051537]; 3-phenylpropionate dioxygenase activity [GO:0008695]; metal ion binding [GO:0046872]; 3-phenylpropionate catabolic process [GO:0019380]","2 iron, 2 sulfur cluster binding [GO:0051537]; 3-phenylpropionate dioxygenase activity [GO:0008695]; metal ion binding [GO:0046872]",GO:0008695; GO:0019380; GO:0046872; GO:0051537,,,,,
A0A140N5A8,A0A140N5A8_ECOBD,unreviewed,3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19),hcaE ECBD_1146,Escherichia coli (strain B / BL21-DE3),453,3-phenylpropionate catabolic process [GO:0019380],,"2 iron, 2 sulfur cluster binding [GO:0051537]; 3-phenylpropionate dioxygenase activity [GO:0008695]; iron ion binding [GO:0005506]; 3-phenylpropionate catabolic process [GO:0019380]","2 iron, 2 sulfur cluster binding [GO:0051537]; 3-phenylpropionate dioxygenase activity [GO:0008695]; iron ion binding [GO:0005506]",GO:0005506; GO:0008695; GO:0019380; GO:0051537,1.14.12.19,,,,
A0A140NEZ5,A0A140NEZ5_ECOBD,unreviewed,"2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16) (3-carboxyethylcatechol 2,3-dioxygenase)",mhpB ECBD_3309,Escherichia coli (strain B / BL21-DE3),314,3-phenylpropionate catabolic process [GO:0019380],,"3-carboxyethylcatechol 2,3-dioxygenase activity [GO:0047070]; ferrous iron binding [GO:0008198]; 3-phenylpropionate catabolic process [GO:0019380]","3-carboxyethylcatechol 2,3-dioxygenase activity [GO:0047070]; ferrous iron binding [GO:0008198]",GO:0008198; GO:0019380; GO:0047070,1.13.11.16,,,,
A0A140N6G8,A0A140N6G8_ECOBD,unreviewed,3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component (EC 1.18.1.3),hcaD ECBD_1142,Escherichia coli (strain B / BL21-DE3),400,3-phenylpropionate catabolic process [GO:0019380],,3-phenylpropionate dioxygenase activity [GO:0008695]; ferredoxin-NAD+ reductase activity [GO:0008860]; flavin adenine dinucleotide binding [GO:0050660]; 3-phenylpropionate catabolic process [GO:0019380],3-phenylpropionate dioxygenase activity [GO:0008695]; ferredoxin-NAD+ reductase activity [GO:0008860]; flavin adenine dinucleotide binding [GO:0050660],GO:0008695; GO:0008860; GO:0019380; GO:0050660,1.18.1.3,,,,
A0A140NCG7,A0A140NCG7_ECOBD,unreviewed,"2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase (EC 3.7.1.14) (2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase)",mhpC ECBD_3308,Escherichia coli (strain B / BL21-DE3),288,3-phenylpropionate catabolic process [GO:0019380],cytoplasm [GO:0005737],"cytoplasm [GO:0005737]; 2-hydroxy-6-oxonona-2,4,7-trienedioate hydrolase activity [GO:0052823]; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity [GO:0018771]; protein homodimerization activity [GO:0042803]; 3-phenylpropionate catabolic process [GO:0019380]","2-hydroxy-6-oxonona-2,4,7-trienedioate hydrolase activity [GO:0052823]; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity [GO:0018771]; protein homodimerization activity [GO:0042803]",GO:0005737; GO:0018771; GO:0019380; GO:0042803; GO:0052823,3.7.1.14,,,,
