ProtGroup,Counter,Accession,Identical,Similar,OtherLoci,Filter,Coverage,SeqLength,MW,Description,CountsTot,UniqueTot,UniqFrac,Total_TMT1,Total_TMT2,Unique_TMT1,Unique_TMT2,Corrected_TMT1,Corrected_TMT2,PSMs_Used_TMT1,TotInt_126C_TMT1,TotInt_127N_TMT1,TotInt_127C_TMT1,TotInt_128N_TMT1,TotInt_128C_TMT1,TotInt_129N_TMT1,TotInt_129C_TMT1,TotInt_130N_TMT1,TotInt_130C_TMT1,TotInt_131N_TMT1,PSMs_Used_TMT2,TotInt_126C_TMT2,TotInt_127N_TMT2,TotInt_127C_TMT2,TotInt_128N_TMT2,TotInt_128C_TMT2,TotInt_129N_TMT2,TotInt_129C_TMT2,TotInt_130N_TMT2,TotInt_130C_TMT2,TotInt_131N_TMT2
1,1,CONT_011|gi|136425|sp|P00760|TRYP_BOVIN (+1),CONT_011|gi|136425|sp|P00760|TRYP_BOVIN&EXTRA_0051, , ,contaminant,20.5,229,23993,TRYPSINOGEN [Bos taurus].,22,22,1,14,8,14,8,14,8,14,3633560.879,3348542.179,4068094.283,3090994.273,3714598.45,4101385.079,4511302.453,4150702.954,3586097.214,3189514.143,8,4766542.777,3456816.555,4543026.051,4539255.203,4594342.539,4639932.762,4821635.555,4583098.371,4505339.57,4532288.496
2,1,CONT_025|gi|346581|pir||S29094 (+2),CONT_025|gi|346581|pir||S29094&CONT_110|gi|125117|sp|P25691|K2M3_SHEEP&EXTRA_0027, ,"CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666",contaminant,3.8,503,55342,"keratin, type II, component 5, cytoskeletal [sheep, wool, Peptide, 503 aa].",4,1,0.25,2,2,0,1,0.087,1.043,0,0,0,0,0,0,0,0,0,0,0,1,32199.94141,22172.84961,45391.89063,41217.78906,42489.15234,36105.26172,33669.33594,42196.48047,48819,44819.85156
3,1,CONT_044|gi|1083132|pir||A56694, , ,"CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666",contaminant,3.3,480,53033,"keratin, type II, KRT2.13 [Ovis aries].",4,1,0.25,3,1,1,0,1.087,0.043,1,24040.38086,10539.12793,30872.04297,32167.62891,27135.18164,27382.81445,17201.24414,18494.28906,47120.41016,52420.02344,0,0,0,0,0,0,0,0,0,0,0
4,1,CONT_048|gi|553163 (+5),CONT_048|gi|553163&CONT_071|gi|181400&CONT_073|gi|87303|pir||JS0487&CONT_103|gi|2119212|pir||I37982&CONT_124|gi|105815|pir||A34720&CONT_179|gi|2506774|sp|P05787|K2C8_HUMAN, ,"CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940",contaminant,16.5,231,26182,(M26513) keratin 8 [Homo sapiens].,10,1,0.1,6,4,0,1,0.134,1.064,0,0,0,0,0,0,0,0,0,0,0,1,13745.38086,6302.305664,37601.74609,19925.76758,21241.64258,14753.09863,15808.26172,49303.65625,27874.27539,22994.32422
7,1,CONT_060|gi|542923|pir||S37780 (+2),CONT_060|gi|542923|pir||S37780&CONT_095|gi|547750|sp|P35900|K1CT_HUMAN&CONT_096|gi|2119209|pir||I37358, ,"CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313",contaminant,4.5,424,48571,"keratin 20, cytoskeletal [Homo sapiens].",5,3,0.6,2,3,1,2,1.13,2.13,1,46102.8125,38744.63281,39908.92969,46149.85156,24421.62305,47618.80078,69289.65625,52556.90625,52167.56641,31973.72266,2,34703.69531,66451.0918,62686.03906,65663.22656,76055.01758,58703.01953,80045.3418,96293.34766,83205.12109,80269.82617
8,1,CONT_066|gi|386644|bbs|134977 (+1),CONT_066|gi|386644|bbs|134977&EXTRA_0019, ,"CONT_066|gi|386644|bbs|134977, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994",contaminant,10.4,404,45935,"type Ia hair keratin a3 [human, Peptide, 404 aa].",4,1,0.25,3,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,203421.75,144922.9688,12545.48145,513421.6563,281324.625,273390.6563,239893.5156,23062.05664,556505.0625,322626.9688
9,1,CONT_068|gi|1082558|pir||S41161 (+1),CONT_068|gi|1082558|pir||S41161&EXTRA_0011, ,"CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313",contaminant,48.2,623,62129,"keratin 9, cytoskeletal [Homo sapiens].",106,102,0.962,55,51,53,49,54.109,50.109,53,6478025.066,5429760.065,7366681.299,5972688.631,7518443.596,7046382.517,6769334.318,6839338.968,5594137.253,6715537.325,49,8025967.345,4387818.628,7262863.861,5998111.254,7395927.701,4706943.303,6836477.741,8122916.266,12708741.9,7981818.153
10,1,CONT_072|gi|547754|sp|P35908|K22E_HUMAN (+1),CONT_072|gi|547754|sp|P35908|K22E_HUMAN&EXTRA_0023, ,"CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940",contaminant,60.2,645,65865,"KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].",85,56,0.659,45,40,30,26,40.651,35.495,30,1886120.272,1618372.569,2521125.299,1991792.023,2417844.346,2053660.909,2072011.669,1912402.385,1421807.6,2257294.929,26,2311627.705,715212.3945,1952034.051,1304250.547,1845943.03,1474567.921,1673681.109,1660344.195,1639439.224,1876965.576
13,1,CONT_076|gi|125083|sp|P05783|K1CR_HUMAN (+1),CONT_076|gi|125083|sp|P05783|K1CR_HUMAN&CONT_077|gi|106851|pir||S06889, ,"CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016",contaminant,4.7,430,48057,"KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].",6,1,0.167,3,3,1,0,1.024,0.035,1,15389.91992,18092.26953,12145.72949,13498.18164,21323.44141,21831.72852,15237.66309,21575.14648,15817.57324,19953.5293,0,0,0,0,0,0,0,0,0,0,0
18,1,CONT_089|gi|71536|pir||KRHU2, , ,"CONT_048|gi|553163, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940",contaminant,36.1,493,52788,"keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].",98,9,0.092,50,48,4,5,11.306,11.776,4,2033963.117,1869620.02,2200053.287,1777067.848,2601800.143,2122213.43,2150981.336,1880762.473,1653505.129,1950114.154,5,3545984.486,1608593.812,2791994.537,2421185.039,2955658.139,2063128.56,2577762.572,3163355.174,5026607.91,3038496.713
