Accession,Description,POOL1,CF11,BL22,S112,S721,POOL2,CF21,BL11,S122,S712,S722,S111,BL21,CF12,POOL3,S711,S121,BL12,CF22,POOL4
CONT_011|gi|136425|sp|P00760|TRYP_BOVIN (+1),TRYPSINOGEN [Bos taurus].,3633560.8789999997,3348542.1789999995,4068094.2830000003,3090994.273,3714598.45,4101385.079,4511302.453,4150702.954,3586097.2139999997,3189514.143,4766542.777,3456816.555,4543026.051,4539255.203,4594342.539,4639932.762,4821635.555,4583098.371,4505339.57,4532288.496
CONT_025|gi|346581|pir||S29094 (+2),"keratin, type II, component 5, cytoskeletal [sheep, wool, Peptide, 503 aa].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32199.941410000003,22172.84961,45391.89063,41217.78906,42489.15234,36105.26172,33669.33594,42196.48047,48819.0,44819.85156
CONT_044|gi|1083132|pir||A56694,"keratin, type II, KRT2.13 [Ovis aries].",24040.38086,10539.12793,30872.04297,32167.628910000003,27135.18164,27382.81445,17201.24414,18494.28906,47120.41016,52420.02344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_048|gi|553163 (+5),(M26513) keratin 8 [Homo sapiens].,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13745.38086,6302.305664,37601.74609,19925.76758,21241.64258,14753.09863,15808.261719999999,49303.65625,27874.27539,22994.32422
CONT_060|gi|542923|pir||S37780 (+2),"keratin 20, cytoskeletal [Homo sapiens].",46102.8125,38744.63281,39908.92969,46149.85156,24421.62305,47618.80078,69289.65625,52556.90625,52167.56641,31973.722660000003,34703.69531,66451.0918,62686.03906,65663.22656,76055.01758,58703.01953,80045.3418,96293.34766,83205.12109,80269.82617
CONT_066|gi|386644|bbs|134977 (+1),"type Ia hair keratin a3 [human, Peptide, 404 aa].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203421.75,144922.9688,12545.48145,513421.6563,281324.625,273390.6563,239893.5156,23062.05664,556505.0625,322626.9688
CONT_068|gi|1082558|pir||S41161 (+1),"keratin 9, cytoskeletal [Homo sapiens].",6478025.066000001,5429760.065,7366681.299,5972688.631,7518443.596,7046382.517000001,6769334.318,6839338.967999999,5594137.253,6715537.325,8025967.345,4387818.6280000005,7262863.8610000005,5998111.254,7395927.701,4706943.303,6836477.741,8122916.266,12708741.9,7981818.153
CONT_072|gi|547754|sp|P35908|K22E_HUMAN (+1),"KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].",1886120.2719999999,1618372.5690000001,2521125.299,1991792.023,2417844.346,2053660.909,2072011.669,1912402.385,1421807.6,2257294.929,2311627.705,715212.3945,1952034.051,1304250.547,1845943.03,1474567.9209999999,1673681.1090000002,1660344.195,1639439.2240000002,1876965.576
CONT_076|gi|125083|sp|P05783|K1CR_HUMAN (+1),"KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].",15389.919919999998,18092.26953,12145.72949,13498.18164,21323.44141,21831.72852,15237.66309,21575.14648,15817.57324,19953.5293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_089|gi|71536|pir||KRHU2,"keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].",2033963.1169999999,1869620.02,2200053.287,1777067.8480000002,2601800.143,2122213.43,2150981.336,1880762.4730000002,1653505.129,1950114.154,3545984.486,1608593.812,2791994.537,2421185.039,2955658.139,2063128.56,2577762.5719999997,3163355.1739999996,5026607.91,3038496.713
CONT_092|gi|71528|pir||KRHU0 (+2),"keratin 10, type I, cytoskeletal (clone lambda-KH10-5) [Homo sapiens].",3922701.647,3540780.807,4646825.96,3939384.942,5346097.446,4244124.251,4056987.187,3765322.7369999997,3001513.775,4410995.761,7236863.844,3112913.7260000003,6092276.375,4812516.032,6120876.033,5642462.871,6002120.7639999995,5501771.503,6442868.647999999,6449190.137
