New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Mon Nov 11 12:21:04 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_TMT1	Total_TMT2	Unique_TMT1	Unique_TMT2	Corrected_TMT1	Corrected_TMT2	PSMs_Used_TMT1	TotInt_126C_TMT1	TotInt_127N_TMT1	TotInt_127C_TMT1	TotInt_128N_TMT1	TotInt_128C_TMT1	TotInt_129N_TMT1	TotInt_129C_TMT1	TotInt_130N_TMT1	TotInt_130C_TMT1	TotInt_131N_TMT1	PSMs_Used_TMT2	TotInt_126C_TMT2	TotInt_127N_TMT2	TotInt_127C_TMT2	TotInt_128N_TMT2	TotInt_128C_TMT2	TotInt_129N_TMT2	TotInt_129C_TMT2	TotInt_130N_TMT2	TotInt_130C_TMT2	TotInt_131N_TMT2
1	1	CONT_011|gi|136425|sp|P00760|TRYP_BOVIN (+1)	CONT_011|gi|136425|sp|P00760|TRYP_BOVIN&EXTRA_0051	 	 	contaminant	20.5	229	23993	TRYPSINOGEN [Bos taurus].	22	22	1.000	14	8	14	8	14.000	8.000	14	3633560.8789049997	3348542.1791979996	4068094.2832029997	3090994.27295	3714598.450194	4101385.0790999997	4511302.453125001	4150702.9541009995	3586097.2138680005	3189514.1425759997	8	4766542.777344	3456816.554687	4543026.050781	4539255.203125	4594342.539062	4639932.761719	4821635.554688	4583098.371094	4505339.570312	4532288.496094
2	1	CONT_025|gi|346581|pir||S29094 (+2)	CONT_025|gi|346581|pir||S29094&CONT_110|gi|125117|sp|P25691|K2M3_SHEEP&EXTRA_0027	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	3.8	503	55342	keratin, type II, component 5, cytoskeletal [sheep, wool, Peptide, 503 aa].	4	1	0.250	2	2	0	1	0.087	1.043	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	32199.941406	22172.849609	45391.890625	41217.789062	42489.152344	36105.261719	33669.335938	42196.480469	48819.0	44819.851562
3	1	CONT_044|gi|1083132|pir||A56694	 	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	3.3	480	53033	keratin, type II, KRT2.13 [Ovis aries].	4	1	0.250	3	1	1	0	1.087	0.043	1	24040.380859	10539.12793	30872.042969	32167.628906	27135.181641000003	27382.814452999995	17201.244141	18494.289062	47120.410156	52420.023438	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	1	CONT_048|gi|553163 (+5)	CONT_048|gi|553163&CONT_071|gi|181400&CONT_073|gi|87303|pir||JS0487&CONT_103|gi|2119212|pir||I37982&CONT_124|gi|105815|pir||A34720&CONT_179|gi|2506774|sp|P05787|K2C8_HUMAN	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940	contaminant	16.5	231	26182	(M26513) keratin 8 [Homo sapiens].	10	1	0.100	6	4	0	1	0.134	1.064	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	13745.380859	6302.305664	37601.746094	19925.767578	21241.642578	14753.098633000001	15808.261719	49303.65625	27874.275391000003	22994.324219
7	1	CONT_060|gi|542923|pir||S37780 (+2)	CONT_060|gi|542923|pir||S37780&CONT_095|gi|547750|sp|P35900|K1CT_HUMAN&CONT_096|gi|2119209|pir||I37358	 	CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313	contaminant	4.5	424	48571	keratin 20, cytoskeletal [Homo sapiens].	5	3	0.600	2	3	1	2	1.130	2.130	1	46102.8125	38744.632812	39908.929688	46149.851562	24421.623047	47618.800781	69289.65625	52556.90625	52167.566406	31973.722656	2	34703.695312	66451.091797	62686.039063000004	65663.226562	76055.017578	58703.01953199999	80045.341797	96293.347656	83205.121094	80269.826172
8	1	CONT_066|gi|386644|bbs|134977 (+1)	CONT_066|gi|386644|bbs|134977&EXTRA_0019	 	CONT_066|gi|386644|bbs|134977, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994	contaminant	10.4	404	45935	type Ia hair keratin a3 [human, Peptide, 404 aa].	4	1	0.250	3	1	0	1	3.000	1.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	203421.75	144922.96875	12545.481445	513421.65625	281324.625	273390.65625	239893.515625	23062.056641	556505.0625	322626.96875
9	1	CONT_068|gi|1082558|pir||S41161 (+1)	CONT_068|gi|1082558|pir||S41161&EXTRA_0011	 	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313	contaminant	48.2	623	62129	keratin 9, cytoskeletal [Homo sapiens].	106	102	0.962	55	51	53	49	54.109	50.109	53	6478025.065553	5429760.065432	7366681.299317	5972688.630616	7518443.596071	7046382.516905999	6769334.318237001	6839338.9683840005	5594137.2532979995	6715537.325196001	49	8025967.344725	4387818.627565	7262863.860838999	5998111.254151	7395927.700681999	4706943.302983	6836477.740598	8122916.266112999	12708741.902833002	7981818.152714001
10	1	CONT_072|gi|547754|sp|P35908|K22E_HUMAN (+1)	CONT_072|gi|547754|sp|P35908|K22E_HUMAN&EXTRA_0023	 	CONT_048|gi|553163, CONT_049|gi|88052|pir||A32568, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940	contaminant	60.2	645	65865	KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].	85	56	0.659	45	40	30	26	40.651	35.495	30	1886120.2720930001	1618372.5694579997	2521125.298949	1991792.023441	2417844.3457010007	2053660.9086910002	2072011.6687040005	1912402.385379	1421807.599612	2257294.9289549994	26	2311627.70508	715212.3945340001	1952034.0507820002	1304250.5468729998	1845943.0302720002	1474567.9208980002	1673681.109374	1660344.195312	1639439.223632	1876965.5761709998
13	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN (+1)	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN&CONT_077|gi|106851|pir||S06889	 	CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_152|gi|2135530|pir||S60034, CONT_153|gi|1181994, CONT_156|gi|1363944|pir||JC4313, EXTRA_0010, EXTRA_0016	contaminant	4.7	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	6	1	0.167	3	3	1	0	1.024	0.035	1	15389.919922	18092.269531	12145.729492	13498.181641	21323.441406	21831.728516	15237.663086000002	21575.146484	15817.573241999999	19953.529297	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	1	CONT_089|gi|71536|pir||KRHU2	 	 	CONT_048|gi|553163, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_143|gi|88054|pir||A22940	contaminant	36.1	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	98	9	0.092	50	48	4	5	11.306	11.776	4	2033963.117188	1869620.019531	2200053.28711	1777067.847656	2601800.1425779997	2122213.429687	2150981.335938	1880762.472656	1653505.128906	1950114.154297	5	3545984.486328	1608593.811523	2791994.537109	2421185.039062	2955658.138672	2063128.55957	2577762.572266	3163355.173828	5026607.910156	3038496.712891
